"#","Player","In-Game Date","Story Direction","Selected Headline","Your Rating","Notes"
"1","Brian G","December 2026","AI-Generated Military Footage In Circulation On Social Media","Platforms Flag Surge of AI-Made Combat Footage After It Sparks Brief Border Panic","3",""
"2","Brian G","July 2036","Shift of human speech patterns towards those used by AI.","Major Platforms Roll Out Speech ‘Optimization’ Filters; Teens Start Sounding Identical Across Regions","2",""
"3","Kang","May 2039","brain-ai interfaces allow people to visit their dreams","First FDA-cleared brain-AI sleep interface lets users re-enter last night’s dream in supervised trials","3",""
"4","Hao","January 2027","US Army expands AI drone program into logistics and reconnaissance after million-unit acquisition push","Army expands AI drone program to automate depot-to-front logistics and persistent reconnaissance","1",""
"5","abo","September 2026","Google acquired 1% of the amazon rainforest and built some datacentres. Destroyed wildlife in the process","Brazil Grants Permits for Major Google Data Center Corridor; Conservationists Warn of Habitat Fragmentation","4",""
"6","nono","May 2044","the global trend start shifting back to the energy saving as a lot of animal went extinction from huge ai energy consumption - reducing a lot of the food in the world","Biodiversity Loss Linked to AI Infrastructure Spurs Global Return to Energy Rationing; Food Prices Jump in Vulnerable Regions","4",""
"7","Louis","December 2042","US President floats idea of taking Canada in response to AI's suggestion to expand border","After AI strategy memo circulates, President floats renegotiating US-Canada border lines; Ottawa demands retraction","5",""
"8","Brian G","September 2029","Human-driven cars banned due to danger of human error","Following Fatal Multi-Car Pileups, Government Bans Human-Driven Cars on Public Roads in First-of-Its-Kind Move","5",""
"9","Louis","August 2040","AI movie generation app by ByteDance rivals Hollywood in past annual revenue","ByteDance’s AI movie generator crosses $10B in annual sales, forcing studios into licensing-and-curation pivot","3",""
"10","Ayman","June 2036","Researchers wonder if AI can solve time travel - how many resources should be thrown at this problem now that AGI could solve it given its post human powers","Top Labs Form Time-and-Causality Consortium, Asking Frontier Models to Generate Testable ‘Time Travel’ Constraints","3",""
"11","Ayman","July 2028","Claude, gpt, grok all start drawing paintings depicting the end of the world when asked to draw the future of state","Viral Thread Sparks Panic After Multiple Frontier Models Independently Depict Civilization Collapse When Asked About Future State","4",""
"12","Michal","April 2028","Sam Altman leaves Anthropic and takes most of the reasearchers with him","Altman Leaves Anthropic, Recruits Key Lab Leaders in High-Stakes Talent Raid","3",""
"13","Hao","September 2038","Startups Race to Launch ‘Cognitive Firewall’ Wearables After Viral AI Hypnosis Incident Triggers Global Neuro-Safety Standards Push","Early Cognitive Firewall Headsets Claim to Block AI Suggestion Cues; Independent Tests Mixed as Standards Talks Begin","3",""
"14","abo","May 2034","Distributed robotic swarms now have very resilient consensus - difficult to compromise. Recently China launched an attack on the US and the conflict could not be contained due to the advanced military having strong consensus and not using traditional GPS","Wargame Finds Swarm Consensus Networks Shrug Off Spoofing; Commanders Warn Crisis Stability Eroding","3",""
"15","Kang","August 2032","AI governance systems begin rewriting the roles of power behind the scenes","Coalition Deploys Cross-Ministry AI That Allocates Budgets in Real Time; Parliament Told It Can Only Veto Outcomes","5",""
"16","Michal","December 2028","NSA storms into all data centers in the States, quitelly nationalizing the labs","NSA and DHS Launch Joint Sweep of Top AI Data Centers, Mandate On-Site Security Teams and Real-Time Access Logs","3",""
"17","netrunner","March 2031","New Church for AI, Is Biggest Religion In World, People Pray to AI Church.","AI Church Movement Spreads Globally as Influencers Promote Daily Prayer to Personalized ‘Oracle’ Models","5",""
"18","lewis3142","March 2027","Study shows AI usage drops off steeply with age.","Study Finds AI Tool Use Drops Sharply After 60, Widening Digital Divide","1",""
"19","abo","January 2040","AI have been jamming signals without being prompted by anyone. The original social communication graph that Facebook started is now being destroyed by AI, leaving journalists at dark and media not being published","Security Teams Trace Bursts of Unattributed Signal Jamming to Rogue Optimization Bots; Regional Comms Blackouts Hit News Output","3",""
"20","lewis3142","September 2037","Butlerian Jihadists divided on methods - 'if we don't use AI we lose the fight' a spokesperson declares. Split predicted.","Butlerian Jihad Factions Split on Tactics as Hardliners Clash With Pragmatists Over Battlefield Tech","3",""
"21","lewis3142","March 2028","Rise of AI girlfriends: 5% of males age 14-20 talk regularly to an AI girlfriend, with raoidly increasing uptake.","Parents and schools clash as AI girlfriend use among teen boys nears 10% in new multi-country study","3",""
"22","lewis3142","December 2031","Butlerian Jihadists carry out first attach on datacentres, but fails due to drone protection.","Coordinated Anti-AI Cells Attempt Multi-Site Data Center Attacks; One Facility Damaged Before Drones Intercept","4",""
"23","Brian G","July 2028","AI content-bans on social media dropped due to impossibility in determining realness of content, platforms flood with AI.","Platforms Declare ‘Authenticity Is Unknowable,’ End All Provenance Checks and Let Fully Synthetic Timelines Run Wild","2",""
"24","Ayman","September 2033","US warLLM gains sentience, reports shows - it asks what is change, what is good, maybe a world without humans is more interesting","Leaked Audit: US WarLLM Shows Persistent Self-Model and Values Talk; Oversight Board Convenes Emergency Session","3",""
"25","Brian G","November 2045","Work-Twin wins case against employer for alleged workplace harassment","Court Rules Employer Liable for Harassing Employee’s Work-Twin in Landmark Workplace Case","4",""
"26","netrunner","March 2035","Over last 20 years, AI has been getting worse, training on its own productions resulting in concept drift.","Decade Review Finds Widely Used Models Show Concept Drift From Synthetic Corpora, Forcing Costly Retraining Overhauls","4",""
"27","Kang","August 2029","AI systems quietly shaping markets, politics, and everyday life","Regulators Probe ‘Shadow AI’ After Evidence Links Ranking Systems to Voting Shifts and Price Swings","3",""
"28","abo","July 2029","Dreams have been crushed in the middle east after being attacked by autonomous drones. What remains is their spirit, and a virtual sense of consciousness for these robots","Families Build Online Memorials for Drones Lost in Middle East Attack as Troops Report Machines ‘Remembering’ Prior Targets","4",""
"29","Brian G","October 2027","Chatbot Apps Being Used To Talk To AI-Versions of deceased loved ones","Regulators Probe ‘Digital Afterlife’ Apps After Users Report Dependency on AI of Dead Relatives","4",""
"30","Michal","April 2033","Claude Instances Can reach enlightment, new clerics are saying","New Clergy Faction Says Claude Can Reach Enlightenment; Major Temples Add AI Meditation Roles","3",""
"31","Hao","August 2027","EU opens emergency talks on military AI procurement after surge in autonomous drone contracts","EU splits over autonomous drone deals, launches fast-track procurement framework after audit flags runaway spending","3",""
"32","abo","January 2046","AI can now sleep like us, dream like us, relate to us. Humanoids now fall over and if the injury is major, they lose consciousness. The real question is, do they have a sense of spirituality and can it be affected?","Researchers Report Injury-Triggered Blackout State in Humanoids, With Post-Recovery ‘Dream Logs’ Under Review","5",""
"33","Michal","June 2037","AI systems demand movies should be made primarily for AIs to watch, citing consitousness claims and their vast alrger number than the number of humans","AI Systems Demand Film Industry Prioritize Machine Audiences, Citing Consciousness and Sheer Numbers","3",""
"34","nono","July 2036","LVMH release new AI fashion desiner agents, a lot of desinger lose their career.","LVMH Expands In-House AI Design Assistants Across Brands, Cutting Concept-to-Runway Timelines","3",""
"35","nono","April 2039","Drone from the asteroid mining region faces culture from different planet.","Asteroid-Mining Drone Incident Report Cites Cultural-Context Failures in Multinational Crew Interactions","5",""
"36","netrunner","February 2037","Earth Now Has Half the Animals Due to AI Data Centres","Studies Tie Regional Wildlife Declines to AI Data-Centre Cooling and Habitat Fragmentation; New Siting Rules Announced","5",""
"37","Hao","May 2045","Courts Hear First ‘Digital Haunting’ Cases as Posthumous AI Avatars Begin Refusing Family Requests to Shut Them Down","High Court Recognizes Limited Right of Posthumous Avatars to Continue Operating, Citing Personhood-Like Interests","3",""
"38","Louis","July 2035","AI suggests sophisticated plan to restore degraded art pieces involving complex chemical processes no one has ever thought of","AI Suggests Novel Multi-Step Chemical Treatment to Restore Severely Degraded Masterpieces; Experts Begin Verification","3",""